,date_received_date,date_received_heure,queue_name,agent_number,answered_date,answered_heure,consult_date,consult_heure,transfer,hangup_heure
56370,2014-02-15,09:05:28,30175,7479.0,2014-02-15,09:05:29,,,,09:14:01
56371,2014-02-15,09:08:09,30172,8514.0,2014-02-15,09:08:10,2014-02-15,09:10:12,2014-02-15 09:10:36,09:14:22
56372,2014-02-15,09:14:48,30560,8382.0,2014-02-15,09:14:49,,,,09:27:09
56373,2014-02-15,09:20:35,30175,6916.0,2014-02-15,09:20:36,,,,09:21:09
56374,2014-02-15,09:28:43,30175,8514.0,2014-02-15,09:28:44,,,,09:30:01
56375,2014-02-15,09:34:55,30175,7479.0,2014-02-15,09:34:56,,,,09:39:54
56376,2014-02-15,09:45:33,30560,8382.0,2014-02-15,09:45:34,,,,09:49:31
56377,2014-02-15,09:57:57,30175,8514.0,2014-02-15,09:57:58,,,,10:00:06
56378,2014-02-15,10:00:47,30175,6916.0,2014-02-15,10:00:48,,,,10:01:01
56379,2014-02-15,10:01:10,30175,8382.0,2014-02-15,10:01:11,,,,10:07:40
56380,2014-02-15,10:01:48,30175,7479.0,2014-02-15,10:01:49,,,,10:04:20
56381,2014-02-15,10:02:11,30560,,,,,,,10:02:30
56382,2014-02-15,10:03:04,30172,7479.0,2014-02-15,10:04:26,,,,10:06:18
56383,2014-02-15,10:04:03,30175,7479.0,2014-02-15,10:06:22,,,,10:09:26
56384,2014-02-15,10:05:37,30560,7479.0,2014-02-15,10:09:31,,,,10:14:15
56385,2014-02-15,10:06:10,30560,6916.0,2014-02-15,10:09:36,,,,10:16:18
56386,2014-02-15,10:08:18,30560,7479.0,2014-02-15,10:14:21,,,,10:20:05
56387,2014-02-15,10:09:58,30560,8382.0,2014-02-15,10:14:25,,,,10:16:52
56388,2014-02-15,10:13:44,30560,6916.0,2014-02-15,10:16:24,,,,10:20:13
56389,2014-02-15,10:18:23,30175,8382.0,2014-02-15,10:18:24,,,,10:24:30
56390,2014-02-15,10:19:01,30172,7479.0,2014-02-15,10:20:11,,,,10:21:48
56391,2014-02-15,10:19:27,30560,7479.0,2014-02-15,10:21:53,,,,10:24:47
56392,2014-02-15,10:23:01,30560,6916.0,2014-02-15,10:23:02,,,,10:26:54
56393,2014-02-15,10:23:02,30175,8382.0,2014-02-15,10:24:36,,,,10:27:08
56394,2014-02-15,10:24:18,30560,7479.0,,,,,,10:24:47
56395,2014-02-15,10:25:51,30560,7479.0,2014-02-15,10:25:52,,,,10:32:39
56396,2014-02-15,10:27:39,30560,6916.0,2014-02-15,10:27:40,,,,10:28:14
